video_id,title,channel,published_at,views,likes,comments,collected_comments
fXncoLaVUPs,Trying the SHEGLAM Color Bloom Liquid Blush in shade Night Drive #blush,SHEGLAM,2024-01-23T03:18:49Z,1550408,22047,101,10
b5IUGdwHgys,@Y_mzl a trouvé un blush incroyable #shorts #makeup,La groupie de Yasmine,2025-04-27T12:27:50Z,127673,3588,87,10
ZXhwURp2DJU,My Mini Makeup collection🥹❤️ *full face of mini’s,Theresa Krug,2024-04-22T23:00:09Z,1808090,66974,232,10
