video_id,title,channel,published_at,views,likes,comments,collected_comments
FgcmgH6T1UA,서브스턴스 메이크업 튜토리얼,아람이,2025-03-01T09:00:04Z,49021066,842170,2217,10
iDOoA6t2th8,🇺🇸vs🇰🇷 student makeup comparison 🤓 미국 vs 한국 학생 메이크업 비교!,Jooshica,2023-10-11T06:07:22Z,25892352,1425938,9923,10
mjJrR7FYSpM,빵떡이 단발했네...단발메이크업 3개 해줄까? #shorts,LeoJ Makeup,2024-08-31T04:35:30Z,17055941,487537,13701,10
