video_id,title,channel,published_at,views,likes,comments,collected_comments
YOLbmBYU-3E,DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,62915424,3830190,14697,10
W7Ghhl7Pfx8,Too much foundation ?🤮 #foundation #basemakeup #tiktokhacks #tiktoktrend #makeupshorts #shorts,shubhangi anand,2023-02-10T13:44:09Z,54708927,1531344,3350,10
lZsWLQaOR7E,DIY Foundation 🔥 Parlour Wali Didi | Part 01 | #anaysashorts #anaysahacks #shorts,Anaysa Shorts,2022-11-23T13:21:19Z,53036032,1801232,677,10
