video_id,title,channel,published_at,views,likes,comments,collected_comments
JeEOe5DqWnk,Skincare doesn’t have to be so complicated 🥴 @coxir_official #kbeauty #ad,Jeenie.Weenie,2023-12-09T12:00:22Z,92034169,1694859,3120,10
wON0NBrbIrQ,A BLACK OWNED KOREAN BEAUTY BRAND?!,MissDarcei,2022-04-05T18:26:42Z,30246046,1538336,3750,10
fjFGahJAAEI,Unboxing NEW tirtir cushion foundations?!!🤩😍 #korean #kbeauty #unboxing #tirtir,Aylen Park,2024-09-03T00:13:41Z,23796196,970172,2796,10
